gen proies predateurs
0 27 11
1 34 13
2 48 18
3 64 25
4 67 29
5 62 38
6 72 46
7 95 54
8 109 68
9 121 80
10 133 91
11 145 88
12 178 99
13 214 100
14 235 105
15 276 94
16 304 108
17 330 109
18 381 115
19 403 123
20 471 119
21 502 115
22 536 137
23 589 156
24 607 191
25 608 220
26 608 263
27 536 321
28 486 367
29 438 427
30 395 466
31 333 517
32 255 578
33 193 620
34 137 635
35 86 626
36 61 618
37 55 582
38 57 501
39 50 425
40 60 346
41 65 279
42 62 218
43 56 174
44 62 125
45 77 114
46 81 92
47 89 78
48 103 44
49 99 38
50 119 32
51 138 26
52 171 32
53 208 32
54 252 35
55 305 44
56 379 44
57 454 47
58 516 57
59 607 65
60 706 72
61 783 85
62 874 113
63 936 141
64 951 156
65 950 178
66 921 224
67 864 227
68 799 273
69 746 321
70 690 375
71 606 372
72 523 377
73 482 410
74 414 395
75 322 404
76 247 381
77 200 383
78 180 373
79 136 351
80 104 304
81 92 278
82 80 244
83 79 197
84 89 174
85 107 118
86 121 83
87 132 64
88 160 62
89 196 67
90 242 70
91 274 67
92 334 59
93 388 61
94 433 65
95 505 69
96 558 83
97 586 115
98 620 136
99 622 156
100 633 161
101 621 197
102 612 216
103 624 221
104 593 263
105 553 299
106 500 313
107 423 341
108 369 377
109 305 407
110 258 418
111 206 388
112 175 364
113 138 352
114 128 315
115 107 290
116 105 262
117 114 230
118 100 210
119 119 212
120 125 198
121 148 185
122 158 176
123 193 148
124 215 129
125 232 121
126 258 122
127 257 129
128 277 153
129 300 160
130 319 164
131 330 160
132 332 189
133 351 186
134 357 190
135 365 209
136 369 213
137 369 205
138 378 229
139 377 253
140 380 261
141 396 252
142 406 274
143 424 307
144 416 328
145 394 361
146 358 366
147 335 395
148 285 373
149 247 380
150 219 364
151 190 367
152 184 386
153 175 388
154 147 357
155 124 330
156 129 289
157 116 268
158 117 248
159 118 212
160 130 197
161 138 166
162 157 156
163 186 165
164 200 149
165 223 142
166 246 128
167 269 135
168 296 160
169 315 166
170 323 183
171 343 202
172 372 220
173 377 253
174 370 285
175 369 287
176 366 309
177 351 339
178 345 349
179 316 365
180 298 382
181 265 429
182 244 451
183 211 476
184 164 503
185 144 524
186 127 544
187 134 517
188 130 498
189 125 502
190 128 444
191 148 394
192 143 365
193 131 350
194 146 290
195 143 275
196 142 251
197 152 214
198 160 216
199 179 211
